City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,'ayn al 'arab,36.8932,38.3651,40.35,10,0,3.05,SY,1689937516
1,bethel,41.3712,-73.414,22.55,89,100,1.45,US,1689937253
2,iranshahr,27.2025,60.6848,44.19,25,39,5.14,IR,1689937517
3,iqaluit,63.7506,-68.5145,4.85,100,75,1.54,CA,1689937220
4,happy valley-goose bay,53.3168,-60.3315,15.17,77,75,2.57,CA,1689937325
5,santiago de cao,-7.9589,-79.2392,21.07,83,100,2.57,PE,1689937344
6,port-aux-francais,-49.35,70.2167,0.61,68,91,15.81,TF,1689937248
7,mbanza kongo,-6.267,14.2401,31.59,31,10,1.6,AO,1689937517
8,bathurst,-33.4166,149.5806,1.28,95,5,1.53,AU,1689937517
9,cabo san lucas,22.8909,-109.9124,29.23,72,5,5.36,MX,1689937200
10,papatowai,-46.5619,169.4708,5.61,75,8,7.12,NZ,1689937288
11,qaqortoq,60.7167,-46.0333,4.68,98,100,5.45,GL,1689937252
12,papao,-17.75,-149.55,20.82,66,9,7.43,PF,1689937310
13,tiksi,71.6872,128.8694,6.07,67,33,2.08,RU,1689937283
14,kodiak,57.79,-152.4072,9.68,91,11,1.37,US,1689937292
15,coquimbo,-29.9533,-71.3436,12.85,87,100,0.51,CL,1689937398
16,badger,64.8,-147.5333,15.28,91,0,0.0,US,1689937253
17,waitangi,-43.9535,-176.5597,9.9,94,99,2.68,NZ,1689937248
18,sharifabad,35.4202,51.7926,37.37,13,22,7.61,IR,1689937518
19,san fernando,15.0286,120.6898,28.85,86,99,1.45,PH,1689937519
20,yinchuan,38.4681,106.2731,30.61,20,85,3.82,CN,1689937519
21,luanda,-8.8368,13.2343,24.0,69,75,1.03,AO,1689937058
22,lihue,21.9789,-159.3672,24.58,85,68,5.05,US,1689937281
23,vadso,70.0744,29.7487,10.09,76,75,8.75,NO,1689937519
24,las khorey,11.1595,48.1967,34.42,50,100,1.8,SO,1689937519
25,punta arenas,-53.15,-70.9167,-0.94,93,100,5.66,CL,1689937278
26,iskateley,67.6803,53.1512,19.45,79,99,7.36,RU,1689937296
27,adamstown,-25.066,-130.1015,21.59,79,100,11.78,PN,1689937112
28,nuevitas,21.5453,-77.2644,26.75,86,100,3.86,CU,1689937520
29,"laikit, laikit ii (dimembe)",1.4792,124.9735,27.47,70,40,3.09,ID,1689937298
30,ellsworth,44.5434,-68.4195,18.42,97,100,2.06,US,1689937447
31,tralee,52.2704,-9.7026,15.14,82,100,3.09,IE,1689937520
32,invercargill,-46.4,168.35,0.01,99,100,0.89,NZ,1689937256
33,port mathurin,-19.6833,63.4167,23.47,59,11,5.4,MU,1689937265
34,santa ana,33.7456,-117.8678,24.92,85,75,0.45,US,1689937356
35,atafu village,-8.5421,-172.5159,28.71,76,84,4.27,TK,1689937258
36,margaret river,-33.95,115.0667,14.16,64,3,5.2,AU,1689937252
37,ketchikan,55.3422,-131.6461,14.99,95,100,2.26,US,1689937349
38,dolbeau-mistassini,48.8763,-72.212,17.26,89,100,2.07,CA,1689937521
39,puerto ayora,-0.7393,-90.3518,24.75,94,43,2.68,EC,1689937282
40,udachny,66.4167,112.4,21.92,49,51,4.29,RU,1689937283
41,callao,-12.0667,-77.15,20.4,73,100,4.12,PE,1689937502
42,codrington,-38.2667,141.9667,7.25,93,26,3.79,AU,1689937295
43,wailua homesteads,22.0669,-159.378,24.24,85,74,0.89,US,1689937273
44,puerto aysen,-45.4,-72.7,5.7,99,100,1.91,CL,1689937292
45,ribeira grande,38.5167,-28.7,21.22,88,40,2.06,PT,1689937266
46,ugoofaaru,5.6667,73.0,27.48,79,100,7.21,MV,1689937522
47,ushuaia,-54.8,-68.3,-1.19,74,75,6.17,AR,1689937265
48,nantucket,41.2835,-70.0995,21.11,100,100,0.0,US,1689937226
49,santa marta,11.2408,-74.199,29.38,73,16,4.47,CO,1689937327
50,lebu,-37.6167,-73.65,11.54,91,76,5.84,CL,1689937317
51,hadibu,12.65,54.0333,28.11,65,100,11.39,YE,1689937330
52,port alfred,-33.5906,26.891,17.88,63,47,0.45,ZA,1689937304
53,arraial do cabo,-22.9661,-42.0278,18.92,88,40,2.57,BR,1689937203
54,la'ie,21.6477,-157.9253,25.98,82,63,2.24,US,1689937523
55,grytviken,-54.2811,-36.5092,-0.32,94,79,3.04,GS,1689937249
56,vilyuchinsk,52.9306,158.4028,16.15,88,98,3.4,RU,1689937322
57,stanley,54.868,-1.6985,17.1,86,40,1.54,GB,1689937288
58,okhotsk,59.3833,143.3,12.21,92,73,3.76,RU,1689937315
59,mount isa,-20.7333,139.5,19.87,34,0,4.63,AU,1689937294
60,puerto natales,-51.7236,-72.4875,-1.95,97,100,1.14,CL,1689937256
61,college,64.8569,-147.8028,15.32,91,0,0.0,US,1689937289
62,buulobarde,3.8538,45.5674,34.61,35,91,12.22,SO,1689937524
63,nuuk,64.1835,-51.7216,6.6,100,100,9.39,GL,1689937155
64,port lincoln,-34.7333,135.8667,9.77,76,17,2.31,AU,1689937257
65,bandar lampung,-5.4254,105.258,24.6,82,86,1.79,ID,1689937383
66,aykhal,66.0,111.5,19.86,64,74,3.75,RU,1689937525
67,gonabad,34.3529,58.6837,36.04,17,0,4.12,IR,1689937525
68,san antonio de pale,-1.4014,5.6325,22.94,74,100,4.67,GQ,1689937325
69,edinburgh of the seven seas,-37.0676,-12.3116,12.11,59,24,10.57,SH,1689937274
70,albany,42.6001,-73.9662,19.97,92,100,3.03,US,1689937247
71,tsiombe,-25.3,45.4833,19.25,58,100,6.78,MG,1689937287
72,sola,-13.8833,167.55,25.35,79,100,8.78,VU,1689937314
73,island harbour,50.724,-1.2758,21.07,59,59,1.79,GB,1689937322
74,ust-nera,64.5667,143.2,19.64,84,90,2.83,RU,1689937309
75,kalmunai,7.4167,81.8167,33.43,51,61,1.91,LK,1689937526
76,isangel,-19.55,169.2667,19.7,73,2,3.72,VU,1689937291
77,kudahuvadhoo,2.6708,72.8944,28.04,77,100,4.42,MV,1689937526
78,fale old settlement,-9.3852,-171.2468,28.56,75,62,3.19,TK,1689937275
79,ulladulla,-35.35,150.4667,10.81,56,59,6.44,AU,1689937310
80,acarau,-2.8856,-40.12,25.96,59,6,7.12,BR,1689937273
81,margate,51.3813,1.3862,20.17,54,32,4.02,GB,1689937301
82,karlskrona,56.1616,15.5866,18.25,55,25,6.92,SE,1689937527
83,blackmans bay,-43.0167,147.3167,7.51,84,60,2.13,AU,1689937275
84,koumra,8.9126,17.5539,32.63,50,24,1.54,TD,1689937527
85,ta`u,-14.2336,-169.5144,27.06,83,42,6.46,AS,1689937527
86,arica,-18.475,-70.3042,17.13,72,100,2.57,CL,1689937527
87,el porvenir,13.7617,-87.3458,24.63,84,30,2.73,HN,1689937527
88,east london,-33.0153,27.9116,13.52,71,20,4.12,ZA,1689937237
89,chui,-33.6971,-53.4616,14.33,95,38,4.08,UY,1689937292
90,moultrie,31.1799,-83.7891,26.01,100,0,1.54,US,1689937465
91,vorgashor,67.5833,63.95,24.84,53,62,4.35,RU,1689937284
92,constantia,44.1833,28.65,31.5,55,0,4.92,RO,1689937275
93,abepura,-2.6333,140.5833,26.45,74,20,1.03,ID,1689937528
94,rio grande,-32.035,-52.0986,15.06,96,68,5.78,BR,1689937528
95,isafjordur,66.0755,-23.124,10.02,81,0,2.57,IS,1689937265
96,bredasdorp,-34.5322,20.0403,14.34,49,57,3.08,ZA,1689937275
97,montepuez,-13.1256,38.9997,29.07,29,65,4.52,MZ,1689937529
98,nova vicosa,-17.8919,-39.3719,22.69,77,99,7.42,BR,1689937343
99,aasiaat,68.7098,-52.8699,4.17,99,100,6.27,GL,1689937290
100,fort mcmurray,56.7268,-111.381,14.73,94,0,2.57,CA,1689937529
101,bayji,34.9311,43.487,44.63,7,0,9.02,IQ,1689937529
102,enewetak,11.3474,162.3373,28.49,80,46,7.67,MH,1689937273
103,yeed,4.55,43.0333,32.22,37,93,11.57,SO,1689937530
104,anadyr,64.75,177.4833,14.28,87,40,1.0,RU,1689937250
105,susuman,62.7833,148.1667,22.64,51,21,4.18,RU,1689937280
106,hamilton,39.1834,-84.5333,19.84,91,75,0.0,US,1689937120
107,thompson,55.7435,-97.8558,13.09,88,40,1.03,CA,1689937254
108,kapa'a,22.0752,-159.319,24.99,85,91,0.89,US,1689937252
109,fisterra,42.9049,-9.2629,23.19,76,3,3.57,ES,1689937530
110,martinsville,36.6915,-79.8725,22.68,78,0,1.54,US,1689937452
111,lockwood,45.8191,-108.4149,19.24,73,20,2.57,US,1689937530
112,vishnyeva,54.7122,26.5225,18.8,53,52,3.72,BY,1689937531
113,west island,-12.1568,96.8225,25.99,73,75,9.77,CC,1689937254
